Date,Inq
18-Oct,better serve our customers through increased flow our product
18-Oct,initiate a lean culture eliminate waste through out our facilities and apply lean principles not just to production processes
18-Oct,27 years of accumulated chaos which established a reactionary company culture
18-Oct,bring some high level experience external view competence and someone with respectful image on the industry to share teach coach culture transformation
18-Oct,increase skill and consistency with value stream mapping
18-Oct,training for our management team to know problem solving
18-Sep,i am in the process of bringing lean to our organization i have completed some initial training sessions around what lean is some basic tools and need a group to learn about value stream mapping as a means to becoming more efficient we have high waste in our systems some internally driven some corporately driven by our parent company in germany we need to embrace lean as a means of delivering value while eliminating waste
18-Sep,we operate with a complex sales process with trouble in cross functional collaborations a cultural shift is required to keep our $30million organization sustainable
18-Sep,looking to establish a leader led coaching program to accelerate our lean program
18-Sep,we have worked with dennis in the past and would like to get him/others in for a one day seminar that will introduce and train our leadership team on the use of using lean tools for business planning and problem solving i e gap analysis a3 development status a3s etc harry sideris and i have utilized these tools when we were in our fossil hydro organization and eh&s organization and we want to introduce them into our distribution organization
18-Sep,process revamp
18-Aug,we are stuck in long status meetings and cannot break this cycle and move to problem solving and actually fixing issues
18-Aug,"bkc is a compressed gas tube trailer refurbishment and requalification dot facility process experiences many ""peeks and valleys"" as far as throughput and daily completion we believe this to be the case due to disconnect when trailers are stripped down and chassis goes one way and the tubes go another our goal is to have a fine tuned well managed work flow that doesn't allow for much down/idle time and progress is continual"
18-Aug,we are implementing standard work and i want to make sure the team conducting this truly understands standard work
18-Aug,trying to institute a standardized work in a manufacturing process
18-Aug,we have three employees which we would like to receive lean six sigma green belt training and certification
18-Aug,we need to strengthen our problem solving on the floor and also educate managers on how to coach those problem solvers i am envisioning managers being taught in one session and potentially splitting area leaders in two different sessions
18-Aug,"poor continuous improvement culture 
 problem solving is random and poor understanding of the coaching role"
18-Jul,we are a company that buys sells and tests industrial robots kuka and fanuc primarily along with our warehouse acting as a storage facility for robots and spare parts it also functions as a place to make tools and complete tests and repairs on the robot controllers we waste a lot of time by not sticking to set tasks for each employee because everyone is helping out with everything walking around the warehouse to find the right tool and general disorganization
18-Jul,coaching and problem solving
18-Jul,mainly bring the lean warehousing concept to the distribution team have the team understand how lean warehousing will support the supply chain strategy
18-Jul,improve efficiencies
18-Jul,lack of knowledge/skill in developing/coaching problem solvers in our company in order to create a lean culture
18-Jul,"stagnant results platuea'd performance need to ""break through"" the challenges and barriers of the daily grind and re energize the c i spirit"
18-Jul,improve quality and productivity
18-Jun,this agency has used lean to solves process problems for over 10 years
